0.00,0.00,0.00,0.10,0.00
23672.84,0.00,0.00,0.13,0.00
312.70,0.00,0.00,0.00,0.00
19.91,0.00,0.00,0.00,0.00
104658.64,0.00,0.00,0.00,1563541.63
0.00,0.00,0.00,0.25,0.00
8369.28,0.00,0.00,-0.62,0.00
0.00,0.00,0.00,0.00,0.00
0.00,0.00,102694.65,0.00,0.00
609327.56,0.00,4630.66,0.00,0.00
0.00,0.00,0.00,0.00,1073289.66
4891.57,0.00,0.00,0.00,188685.56
2378515.24,0.00,0.00,0.00,860355.97
277182.57,0.00,0.00,0.00,187852.41
0.00,0.00,0.00,0.00,1250221.76
0.00,0.00,0.00,0.00,10218298.03
0.00,0.00,0.00,0.00,0.00
2164840.97,0.00,0.00,0.00,0.00
79453.11,0.00,0.00,0.00,659282.97
2138.34,0.00,0.00,0.00,0.00
7453.82,0.00,0.00,0.00,1071550.37
2329.32,0.00,0.00,0.00,781179.14
0.00,0.00,0.00,0.00,26534971.00
137460.67,0.00,0.00,0.00,0.00
65782.15,0.00,0.00,0.00,0.00
0.00,0.00,14950706.28,0.00,0.00
1080234.00,23010.00,432010.00,21221.06,645092.00
89798.62,0.00,0.00,0.00,0.00
216063.48,0.00,0.00,0.00,0.00
968811.45,12011.00,120902.00,12012.17,230900.99
232926.27,0.00,0.00,0.00,0.00
215287.81,0.00,0.00,0.00,0.00
0.00,10388679.72,0.00,0.00,0.00
359784.28,1647808.78,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00
